Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0010019	0.32	0.00	0.39	0.00	0.07	0.43	0.72	0.00	0.00	0.01	0.60	0.00
FBgn0263006	-0.48	0.00	-0.25	0.01	0.22	0.01	-0.73	0.00	0.00	0.17	0.05	0.00
FBgn0032505	0.26	0.00	0.10	0.19	-0.16	0.02	0.36	0.00	0.00	0.55	0.07	0.08
FBgn0002940	0.04	0.51	0.06	0.40	0.02	0.76	0.10	0.40	0.72	0.73	0.86	0.85
FBgn0000064	-0.13	0.02	-0.14	0.03	-0.01	0.91	-0.27	0.01	0.11	0.27	0.95	0.14
FBgn0264695	-0.66	0.00	-0.35	0.00	0.30	0.00	-1.01	0.00	0.00	0.05	0.01	0.00
FBgn0004181	-0.18	0.14	-0.12	0.39	0.06	0.62	-0.30	0.19	0.35	0.72	0.76	0.66
FBgn0038294	-0.04	0.45	-0.06	0.38	-0.02	0.80	-0.10	0.36	0.67	0.71	0.88	0.82
FBgn0085249	-0.08	0.46	0.00	0.99	0.08	0.45	-0.08	0.70	0.68	1.00	0.62	0.96
FBgn0261853	0.15	0.06	0.06	0.53	-0.09	0.23	0.21	0.17	0.21	0.80	0.40	0.63
FBgn0010217	-0.36	0.00	-0.31	0.00	0.04	0.54	-0.67	0.00	0.00	0.01	0.70	0.00
FBgn0038762	0.05	0.39	-0.09	0.18	-0.14	0.02	-0.04	0.71	0.62	0.54	0.06	0.96
FBgn0027571	0.12	0.15	0.01	0.89	-0.11	0.20	0.13	0.40	0.37	0.96	0.36	0.85
FBgn0000556	0.07	0.25	0.09	0.25	0.01	0.85	0.16	0.20	0.49	0.61	0.91	0.66
FBgn0053229	-0.19	0.00	0.07	0.34	0.27	0.00	-0.12	0.37	0.04	0.68	0.00	0.83
FBgn0000055	0.56	0.00	0.39	0.04	-0.17	0.32	0.95	0.00	0.01	0.29	0.50	0.06
FBgn0000559	0.01	0.84	0.07	0.23	0.06	0.23	0.08	0.41	0.92	0.59	0.40	0.85
FBgn0083936	0.28	0.01	0.15	0.17	-0.12	0.21	0.43	0.02	0.04	0.53	0.38	0.21
dsim_PG00225	0.23	0.01	0.03	0.78	-0.20	0.03	0.26	0.13	0.08	0.92	0.09	0.56
FBgn0011211	-0.48	0.00	-0.46	0.00	0.02	0.87	-0.94	0.00	0.00	0.00	0.93	0.00
FBgn0003863	0.24	0.00	0.09	0.28	-0.15	0.05	0.33	0.02	0.02	0.64	0.15	0.21
FBgn0002921	-0.13	0.08	-0.04	0.68	0.09	0.21	-0.16	0.25	0.26	0.88	0.38	0.72
FBgn0001091	-0.42	0.00	-0.34	0.00	0.08	0.40	-0.77	0.00	0.00	0.06	0.58	0.00
FBgn0039830	-0.50	0.00	-0.42	0.00	0.08	0.35	-0.92	0.00	0.00	0.00	0.53	0.00
FBgn0086687	0.38	0.00	0.25	0.00	-0.12	0.11	0.63	0.00	0.00	0.10	0.24	0.00
FBgn0025454	-0.23	0.05	-0.02	0.86	0.21	0.08	-0.25	0.26	0.19	0.95	0.18	0.73
FBgn0011559	-0.02	0.80	-0.12	0.21	-0.10	0.24	-0.14	0.38	0.90	0.58	0.41	0.84
FBgn0033774	-0.26	0.25	-0.42	0.11	-0.16	0.49	-0.68	0.11	0.49	0.45	0.66	0.52
FBgn0003360	-0.45	0.00	-0.31	0.00	0.14	0.07	-0.76	0.00	0.00	0.02	0.17	0.00
FBgn0000116	-0.17	0.01	-0.13	0.10	0.05	0.49	-0.30	0.02	0.06	0.43	0.65	0.18
FBgn0261015	-0.01	0.83	0.06	0.44	0.08	0.26	0.05	0.72	0.92	0.75	0.44	0.96
FBgn0035915	0.05	0.40	-0.14	0.05	-0.19	0.00	-0.08	0.46	0.63	0.32	0.01	0.88
FBgn0014184	0.09	0.16	0.13	0.06	0.05	0.45	0.22	0.07	0.39	0.35	0.62	0.39
FBgn0038181	-0.68	0.00	-0.37	0.00	0.31	0.00	-1.05	0.00	0.00	0.02	0.00	0.00
FBgn0040813	0.29	0.01	0.25	0.04	-0.05	0.65	0.54	0.01	0.05	0.30	0.78	0.11
FBgn0250815	-0.02	0.87	-0.03	0.81	-0.01	0.91	-0.05	0.82	0.94	0.93	0.95	0.97
FBgn0010352	-0.03	0.56	0.00	0.97	0.03	0.59	-0.03	0.75	0.76	0.99	0.73	0.96
FBgn0000592	0.15	0.07	0.09	0.36	-0.06	0.44	0.23	0.14	0.24	0.70	0.61	0.56
FBgn0035470	0.04	0.44	-0.12	0.04	-0.15	0.00	-0.08	0.40	0.67	0.29	0.01	0.85
FBgn0262736	-0.19	0.00	-0.04	0.56	0.15	0.01	-0.22	0.04	0.02	0.82	0.05	0.32
FBgn0011669	-0.04	0.60	-0.10	0.32	-0.05	0.53	-0.14	0.38	0.78	0.67	0.69	0.84
FBgn0002570	0.31	0.06	0.08	0.68	-0.23	0.15	0.38	0.21	0.21	0.88	0.30	0.68
FBgn0005666	-0.27	0.10	-0.04	0.84	0.23	0.16	-0.31	0.33	0.30	0.94	0.32	0.80
FBgn0015766	0.01	0.87	0.05	0.41	0.04	0.42	0.06	0.56	0.94	0.73	0.59	0.92
FBgn0265297	0.02	0.77	0.10	0.15	0.08	0.17	0.12	0.31	0.89	0.51	0.33	0.78
FBgn0015623	0.21	0.00	0.27	0.00	0.07	0.22	0.48	0.00	0.00	0.00	0.39	0.00
FBgn0030999	0.22	0.02	0.38	0.00	0.17	0.06	0.60	0.00	0.10	0.01	0.16	0.02
FBgn0000121	0.12	0.09	0.14	0.08	0.02	0.78	0.26	0.05	0.27	0.39	0.87	0.35
FBgn0259795	0.00	0.97	-0.18	0.02	-0.18	0.01	-0.17	0.15	0.99	0.19	0.03	0.60
FBgn0259975	-0.03	0.75	-0.15	0.10	-0.12	0.12	-0.18	0.24	0.87	0.43	0.25	0.72
FBgn0033868	0.06	0.32	-0.14	0.07	-0.20	0.00	-0.07	0.55	0.56	0.36	0.01	0.92
FBgn0261836	-0.07	0.62	0.01	0.98	0.07	0.60	-0.06	0.81	0.80	0.99	0.74	0.97
FBgn0001219	-0.09	0.07	0.06	0.34	0.14	0.00	-0.03	0.72	0.24	0.68	0.02	0.96
FBgn0051872	-0.18	0.03	-0.29	0.00	-0.11	0.19	-0.47	0.00	0.15	0.08	0.35	0.06
FBgn0264489	-0.19	0.00	-0.06	0.47	0.13	0.05	-0.24	0.06	0.04	0.76	0.14	0.36
FBgn0083919	-0.45	0.00	-0.19	0.03	0.27	0.00	-0.64	0.00	0.00	0.25	0.00	0.00
FBgn0086906	-0.14	0.30	0.02	0.89	0.16	0.24	-0.12	0.65	0.54	0.96	0.40	0.94
FBgn0038826	0.01	0.93	-0.10	0.19	-0.10	0.11	-0.09	0.46	0.97	0.55	0.25	0.88
FBgn0040060	-0.05	0.67	0.03	0.85	0.08	0.52	-0.03	0.91	0.82	0.94	0.68	0.99
FBgn0027560	0.17	0.00	0.05	0.43	-0.12	0.03	0.23	0.04	0.03	0.74	0.10	0.29
FBgn0011668	0.03	0.74	-0.12	0.18	-0.15	0.06	-0.10	0.53	0.87	0.54	0.16	0.91
FBgn0011823	0.06	0.31	-0.14	0.04	-0.20	0.00	-0.08	0.47	0.55	0.28	0.01	0.88
FBgn0036091	0.27	0.01	0.43	0.00	0.17	0.07	0.70	0.00	0.04	0.00	0.18	0.00
FBgn0004507	-0.52	0.00	-0.52	0.00	0.00	0.97	-1.04	0.00	0.00	0.00	0.98	0.00
